id	r	g	b
0	144	126	145
1	224	140	168
2	133	70	99
3	192	161	109
4	114	86	67
5	143	179	131
6	85	100	79
7	107	186	197
8	67	103	118
9	167	171	244
10	98	89	145
11	222	140	231
12	132	68	137
13	182	165	182
14	108	87	109
