55,0,0,0
70,69.32,9.74,1
70,26.22,64.9,3
70,-43.1,55.16,5
70,-69.32,-9.74,7
70,-26.22,-64.9,9
70,43.1,-55.16,11
70,0,0,13
40,39.61,5.57,2
40,14.98,37.09,4
40,-24.63,31.52,6
40,-39.61,-5.57,8
40,-14.98,-37.09,10
40,24.63,-31.52,12
40,0,0,14
