id	r	g	b
399	203	171	157
400	200	172	150
401	197	174	142
402	192	175	135
403	187	177	128
404	183	178	123
405	178	180	121
406	173	182	122
407	169	184	126
408	165	185	132
409	162	187	139
410	157	188	146
411	153	189	153
412	150	190	160
413	147	190	167
414	145	190	176
415	145	190	184
416	146	190	193
417	149	190	202
418	153	190	210
419	158	189	217
420	163	187	222
421	168	186	227
422	173	184	229
423	179	182	231
424	184	180	230
425	190	178	229
426	195	176	226
427	200	174	222
428	204	172	215
429	207	171	207
430	208	170	199
431	209	169	189
432	208	169	180
433	213	173	175
434	211	174	167
435	209	175	160
436	206	176	153
437	202	178	147
438	198	180	140
439	193	181	133
440	188	183	129
441	182	185	127
442	178	187	128
443	173	188	132
444	169	190	137
445	165	192	143
446	161	193	150
447	157	194	157
448	154	195	164
449	151	195	171
450	150	196	180
451	150	196	190
452	151	196	199
453	154	196	207
454	158	195	215
455	162	194	222
456	167	192	228
457	172	190	232
458	178	188	234
459	183	186	236
460	189	184	235
461	195	182	234
462	201	180	231
463	205	178	227
464	210	177	221
465	213	175	213
466	214	174	204
467	215	173	194
468	214	173	185
469	219	177	180
470	217	178	171
471	214	179	163
472	211	180	157
473	207	182	150
474	203	184	144
475	198	186	138
476	193	188	135
477	187	189	133
478	182	191	134
479	177	193	137
480	172	195	142
481	168	196	147
482	164	198	154
483	161	199	160
484	158	200	167
485	156	200	176
486	155	201	185
487	155	201	195
488	156	201	204
489	159	201	213
490	162	200	220
491	166	199	227
492	171	197	233
493	176	195	237
494	182	193	239
495	188	191	240
496	194	189	240
497	200	186	239
498	206	184	236
499	211	183	232
500	215	181	226
501	218	179	218
502	220	178	209
503	220	177	200
504	220	177	190
505	224	181	185
506	222	182	175
507	219	183	167
508	216	184	160
509	212	186	154
510	208	188	148
511	203	190	143
512	198	192	139
513	192	194	138
514	186	196	139
515	181	198	141
516	176	200	146
517	172	201	151
518	168	203	157
519	164	204	164
520	161	205	171
521	159	206	180
522	159	206	190
523	159	207	200
524	160	207	209
525	163	206	218
526	166	205	225
527	170	204	232
528	175	202	237
529	180	200	241
530	186	198	244
531	193	196	245
532	199	193	245
533	206	191	243
534	212	189	241
535	217	187	237
536	221	185	231
537	224	184	223
538	225	183	215
539	226	182	205
540	225	181	195
541	229	186	189
