id	r	g	b
326	175	146	179
327	174	147	173
328	172	148	168
329	169	149	163
330	166	150	159
331	162	151	156
332	159	153	154
333	155	154	153
334	151	155	153
335	147	157	155
336	143	158	157
337	140	159	161
338	136	160	165
339	133	160	170
340	131	161	176
341	130	161	182
342	129	162	187
343	129	161	193
344	130	161	198
345	132	161	203
346	135	160	207
347	138	159	211
348	142	158	215
349	146	157	217
350	150	155	219
351	154	154	220
352	158	153	220
353	162	151	219
354	166	150	217
355	169	149	215
356	172	148	211
357	174	147	207
358	175	146	202
359	176	146	196
360	177	146	191
361	181	150	191
362	180	150	185
363	178	151	179
364	176	152	173
365	173	153	168
366	170	154	164
367	167	156	161
368	163	157	159
369	159	158	158
370	155	160	158
371	151	161	160
372	147	162	163
373	144	163	166
374	140	164	170
375	138	165	176
376	135	165	181
377	134	166	187
378	133	166	193
379	134	166	198
380	135	165	203
381	136	165	208
382	139	164	213
383	142	163	217
384	146	162	220
385	150	161	223
386	154	160	224
387	158	158	225
388	162	157	225
389	166	156	224
390	170	154	223
391	173	153	220
392	176	152	216
393	178	151	212
394	180	150	207
395	181	150	202
396	181	150	196
397	185	154	196
398	184	155	190
399	182	155	184
400	180	156	178
401	178	157	173
402	174	158	169
403	171	160	166
404	167	161	164
405	163	162	163
406	159	164	164
407	155	165	165
408	151	166	168
409	148	167	171
410	145	168	176
411	142	169	181
412	139	169	186
413	138	170	192
414	137	170	198
415	138	170	204
416	139	170	209
417	140	169	213
418	143	168	218
419	146	167	222
420	150	166	225
421	154	165	228
422	158	164	230
423	162	162	230
424	167	161	230
425	170	160	230
426	174	158	228
427	177	157	225
428	180	156	222
429	182	155	217
430	184	154	212
431	185	154	207
432	185	154	201
433	189	158	201
434	188	159	195
435	186	159	189
436	184	160	183
437	182	161	178
438	179	162	174
439	175	164	171
440	171	165	169
441	167	166	168
442	163	168	168
443	159	169	170
444	155	170	173
445	152	171	176
446	148	172	181
447	146	173	186
448	143	173	191
449	142	174	197
450	141	174	203
451	142	174	209
452	143	174	214
453	145	173	219
454	147	172	223
455	150	171	227
456	154	170	230
457	158	169	233
458	162	168	235
459	166	166	236
460	171	165	236
461	174	164	235
462	178	162	233
463	181	161	230
464	184	160	227
465	186	159	222
466	188	158	217
467	189	158	212
468	189	158	206
469	193	162	206
470	192	162	200
471	190	163	194
472	188	164	188
473	186	165	183
474	182	166	179
475	179	167	176
476	175	169	174
477	171	170	173
478	167	172	173
479	163	173	175
480	159	174	177
481	156	175	181
482	152	176	185
483	149	177	191
484	147	177	196
485	146	178	202
486	145	178	208
487	146	178	214
488	147	177	219
489	148	177	223
490	151	176	228
491	154	175	232
492	158	174	235
493	162	173	238
494	166	172	240
495	170	170	241
496	174	169	240
497	178	167	240
498	182	166	238
499	185	165	235
500	188	164	232
501	190	163	227
502	192	162	222
503	193	162	217
504	193	162	211
505	197	166	210
506	196	166	204
507	194	167	198
508	192	168	193
509	189	169	188
510	186	170	184
511	183	171	180
512	179	173	178
513	175	174	178
514	171	175	178
515	167	177	179
516	163	178	182
517	159	179	186
518	156	180	190
519	153	180	195
520	151	181	201
521	150	181	207
522	149	182	212
523	149	181	218
524	150	181	223
525	152	181	228
526	155	180	233
527	158	179	237
528	162	178	240
529	166	177	243
530	170	175	244
531	174	174	245
532	178	173	245
533	182	171	244
534	186	170	243
535	189	169	240
536	192	168	236
537	194	167	232
538	196	166	227
539	197	166	222
540	197	166	216
541	200	169	215
542	199	170	209
543	198	170	203
544	196	171	198
545	193	172	193
546	190	174	188
547	186	175	185
548	183	176	183
549	179	178	182
550	175	179	183
551	171	180	184
552	167	181	187
553	163	182	190
554	160	183	195
555	157	184	200
556	155	185	205
557	153	185	211
558	153	185	217
559	153	185	223
560	154	185	228
561	156	184	233
562	158	184	237
563	162	183	241
564	165	182	245
565	169	180	248
566	174	179	249
567	178	178	250
568	182	176	250
569	186	175	249
570	189	174	247
571	192	172	245
572	195	171	241
573	198	170	237
574	199	170	232
575	200	169	226
576	201	169	221
577	204	173	219
578	203	173	213
579	201	174	208
580	199	175	202
581	197	176	197
582	194	177	193
583	190	178	189
584	186	180	187
585	182	181	187
586	178	182	187
587	174	184	188
588	170	185	191
589	167	186	195
590	163	187	199
591	160	188	204
592	158	188	210
593	157	189	216
594	156	189	222
595	157	189	227
596	158	188	233
597	159	188	237
598	162	187	242
599	165	186	246
600	169	185	249
601	173	184	252
602	177	183	254
603	181	181	255
604	185	180	255
605	189	178	254
606	193	177	252
607	196	176	249
608	199	175	246
609	201	174	241
610	203	173	236
611	204	173	231
612	204	173	225
613	207	176	224
614	207	177	218
615	205	177	212
616	203	178	206
617	200	179	201
618	197	181	197
619	193	182	194
620	190	183	192
621	186	185	191
622	182	186	191
623	178	187	193
624	174	188	195
625	170	189	199
626	167	190	203
627	164	191	209
628	162	192	214
629	160	192	220
630	160	192	226
631	160	192	232
632	161	192	237
633	163	191	242
634	165	191	246
635	169	190	250
636	172	189	254
637	177	187	255
638	181	186	255
639	185	185	255
640	189	183	255
641	193	182	255
642	196	181	255
643	199	179	254
644	202	178	250
645	205	177	246
646	206	177	241
647	207	176	235
648	208	176	230
649	211	180	228
650	210	180	222
651	208	181	216
652	206	182	211
653	204	183	206
654	200	184	201
655	197	185	198
656	193	187	196
657	189	188	195
658	185	189	196
659	181	191	197
660	177	192	200
661	173	193	203
662	170	194	208
663	167	195	213
664	165	195	218
665	164	195	224
666	163	196	230
667	164	196	236
668	165	195	241
669	166	195	246
670	169	194	251
671	172	193	255
672	176	192	255
673	180	191	255
674	184	189	255
675	188	188	255
676	192	187	255
677	196	185	255
678	200	184	255
679	203	183	255
680	206	182	254
681	208	181	250
682	210	180	245
683	211	180	239
684	211	180	234
685	214	183	232
686	213	183	226
687	212	184	220
688	210	185	215
689	207	186	210
690	204	187	205
691	200	189	202
692	196	190	200
693	192	191	199
694	188	193	200
695	184	194	201
696	180	195	204
697	177	196	207
698	173	197	212
699	171	198	217
700	168	198	223
701	167	199	228
702	167	199	234
703	167	199	240
704	168	199	245
705	170	198	250
706	172	197	255
707	175	196	255
708	179	195	255
709	183	194	255
710	187	193	255
711	192	191	255
712	196	190	255
713	200	189	255
714	203	187	255
715	206	186	255
716	209	185	255
717	212	184	254
718	213	183	249
719	214	183	244
720	215	183	238
721	218	186	236
722	217	187	230
723	215	187	224
724	213	188	219
725	210	189	214
726	207	190	209
727	203	192	206
728	200	193	204
729	196	194	203
730	192	196	204
731	187	197	205
732	184	198	208
733	180	199	211
734	177	200	216
735	174	201	221
736	172	202	227
737	170	202	233
738	170	202	239
739	170	202	244
740	171	202	250
741	173	201	255
742	175	201	255
743	179	200	255
744	182	199	255
745	186	197	255
746	191	196	255
747	195	195	255
748	199	193	255
749	203	192	255
750	206	190	255
751	210	189	255
752	213	188	255
753	215	187	255
754	217	187	253
755	218	186	248
756	218	186	242
