id	r	g	b
0	163	163	200
1	127	98	125
2	126	98	119
3	124	99	113
4	122	100	108
5	120	101	103
6	117	102	99
7	114	103	95
8	110	105	93
9	106	106	92
10	103	107	93
11	99	108	94
12	95	109	97
13	91	110	101
14	88	111	105
15	84	112	110
16	82	113	116
17	80	113	121
18	79	113	127
19	79	113	133
20	80	113	137
21	82	112	142
22	85	112	146
23	88	111	150
24	92	110	154
25	97	109	156
26	101	107	158
27	106	106	159
28	110	104	159
29	114	103	158
30	117	102	156
31	120	100	154
32	123	99	150
33	125	98	146
34	126	98	141
35	127	97	136
36	127	97	130
37	134	104	133
38	133	105	127
39	131	105	122
40	129	106	116
41	127	107	111
42	124	109	107
43	120	110	104
44	117	111	102
45	113	113	101
46	109	114	101
47	105	115	103
48	102	116	105
49	98	117	109
50	94	118	113
51	91	119	119
52	89	119	124
53	87	120	130
54	86	120	135
55	86	120	141
56	87	120	146
57	89	119	151
58	92	119	155
59	95	118	159
60	99	117	162
61	104	115	165
62	108	114	166
63	112	113	167
64	117	111	167
65	120	110	166
66	124	108	165
67	127	107	162
68	130	106	159
69	132	105	154
70	133	104	149
71	134	104	144
72	134	104	139
73	140	111	141
74	139	111	135
75	138	112	129
76	136	113	124
77	133	114	119
78	130	115	115
79	127	116	111
80	123	117	109
81	119	119	109
82	116	120	109
83	112	121	111
84	108	122	113
85	104	123	117
86	101	124	121
87	98	125	126
88	95	126	132
89	94	126	137
90	93	126	143
91	93	126	149
92	94	126	154
93	96	125	158
94	98	125	163
95	102	124	167
96	106	123	170
97	110	122	173
98	114	120	174
99	119	119	175
100	123	117	175
101	127	116	174
102	130	115	172
103	133	113	170
104	136	112	166
105	138	111	162
106	140	111	157
107	140	110	152
108	141	110	147
109	146	116	148
110	145	117	142
111	144	118	137
112	142	118	131
113	139	119	126
114	136	121	122
115	133	122	119
116	129	123	117
117	125	125	116
118	121	126	116
119	118	127	118
120	114	128	121
121	110	129	124
122	107	130	129
123	104	131	134
124	101	131	139
125	100	132	145
126	99	132	150
127	99	132	156
128	100	132	161
129	102	131	166
130	104	131	170
131	108	130	174
132	112	129	177
133	116	127	180
134	120	126	181
135	124	125	182
136	129	123	182
137	133	122	181
138	136	120	180
139	139	119	177
140	142	118	174
141	144	117	169
142	145	117	165
143	146	116	159
144	146	116	154
145	152	122	155
146	151	122	149
147	149	123	144
148	147	124	138
149	145	125	133
150	142	126	129
151	138	127	126
152	135	129	124
153	131	130	123
154	127	131	123
155	123	133	125
156	119	134	127
157	116	135	131
158	112	136	135
159	109	136	140
160	107	137	146
161	105	137	152
162	105	138	157
163	105	137	163
164	106	137	168
165	107	137	173
166	110	136	177
167	113	135	181
168	117	134	184
169	122	133	187
170	126	132	188
171	130	130	189
172	134	129	189
173	138	127	188
174	142	126	187
175	145	125	184
176	147	124	181
177	150	123	176
178	151	122	171
179	152	122	166
180	152	122	161
181	157	127	162
182	156	128	156
183	155	128	150
184	153	129	145
185	150	130	140
186	147	131	135
187	143	133	132
188	140	134	130
189	136	135	129
190	132	137	130
191	128	138	131
192	124	139	134
193	121	140	137
194	117	141	142
195	114	142	147
196	112	142	152
197	111	143	158
198	110	143	164
199	110	143	170
200	111	142	174
201	113	142	179
202	115	141	184
203	119	140	188
204	123	139	191
205	127	138	193
206	131	137	195
207	135	135	196
208	139	134	196
209	143	133	195
210	147	131	193
211	150	130	191
212	153	129	187
213	155	128	183
214	156	127	178
215	157	127	173
216	157	127	167
217	162	132	168
218	161	133	162
219	160	133	156
220	158	134	151
221	155	135	146
222	152	136	142
223	149	138	138
224	145	139	136
225	141	140	136
226	137	142	136
227	133	143	138
228	129	144	140
229	126	145	144
230	122	146	148
231	119	147	153
232	117	147	159
233	116	148	164
234	115	148	170
235	115	148	176
236	116	147	181
237	118	147	185
238	121	146	190
239	124	145	194
240	128	144	197
241	132	143	200
242	136	142	201
243	140	140	202
244	144	139	202
245	148	138	201
246	152	136	200
247	155	135	197
248	158	134	194
249	160	133	189
250	161	132	184
251	162	132	179
252	163	132	174
253	167	137	174
254	166	137	168
255	165	138	162
256	163	139	157
257	160	140	152
258	157	141	148
259	153	142	144
260	150	144	142
261	146	145	142
262	142	146	142
263	138	148	143
264	134	149	146
265	131	150	150
266	127	151	154
267	124	151	159
268	122	152	165
269	121	152	170
270	120	153	176
271	120	152	182
272	121	152	187
273	123	152	192
274	125	151	196
275	129	150	200
276	132	149	203
277	137	148	206
278	141	146	207
279	145	145	208
280	149	144	208
281	153	142	207
282	157	141	206
283	160	140	203
284	163	139	200
285	165	138	195
286	166	137	190
287	167	137	185
288	167	137	180
289	172	141	180
290	171	142	174
291	169	142	168
292	167	143	163
293	165	144	158
294	162	146	153
295	158	147	150
296	154	148	148
297	151	150	147
298	147	151	148
299	143	152	149
300	139	153	152
301	135	154	155
302	132	155	160
303	129	156	165
304	127	157	170
305	125	157	176
306	124	157	182
307	125	157	188
308	126	157	193
309	128	156	197
310	130	156	202
311	133	155	206
312	137	154	209
313	141	152	212
314	145	151	213
315	150	150	214
316	154	148	214
317	158	147	213
318	161	146	211
319	164	144	209
320	167	143	205
321	169	142	201
322	171	142	196
323	172	141	191
324	172	141	185
325	176	146	185
