id	r	g	b
399	184	162	186
400	181	163	181
401	179	164	176
402	176	165	172
403	173	166	170
404	170	168	168
405	167	169	168
406	164	170	168
407	161	171	169
408	158	172	171
409	155	173	174
410	152	174	178
411	149	175	183
412	146	175	188
413	144	176	195
414	143	176	201
415	142	177	207
416	143	177	213
417	145	176	219
418	148	176	224
419	152	175	228
420	156	175	232
421	161	173	235
422	164	172	236
423	168	171	237
424	172	169	237
425	175	168	236
426	178	166	234
427	181	165	231
428	184	164	227
429	186	163	223
430	187	162	217
431	188	161	211
432	188	161	205
433	191	165	204
434	190	165	197
435	188	166	191
436	186	166	186
437	183	167	181
438	180	168	177
439	176	169	174
440	173	171	172
441	170	172	172
442	167	173	172
443	164	174	173
444	161	175	175
445	158	176	178
446	155	177	183
447	152	178	188
448	150	179	194
449	148	180	200
450	147	180	207
451	147	180	213
452	148	180	219
453	150	180	224
454	153	180	229
455	156	179	233
456	160	178	237
457	164	177	239
458	168	175	241
459	171	174	242
460	175	173	242
461	179	171	241
462	182	170	239
463	185	168	236
464	188	167	233
465	190	166	228
466	192	166	223
467	192	165	217
468	192	165	210
469	196	168	209
470	195	169	203
471	193	169	197
472	190	170	191
473	187	170	186
474	184	171	181
475	180	173	178
476	177	174	177
477	173	175	176
478	170	176	176
479	167	177	177
480	164	179	180
481	162	180	183
482	159	181	188
483	156	182	193
484	154	183	199
485	152	183	206
486	151	184	212
487	151	184	218
488	152	184	224
489	154	184	229
490	157	183	234
491	160	182	238
492	163	181	241
493	167	180	244
494	171	179	246
495	174	177	246
496	178	176	246
497	182	174	245
498	186	173	244
499	189	172	241
500	192	171	238
501	194	170	233
502	196	169	228
503	197	169	222
504	197	168	216
505	201	172	215
506	199	172	208
507	197	172	202
508	194	173	196
509	191	174	191
510	188	175	186
511	184	176	183
512	180	177	181
513	177	178	180
514	173	180	181
515	170	181	182
516	167	182	184
517	165	183	188
518	162	185	193
519	160	186	198
520	158	187	204
521	156	187	211
522	155	188	217
523	155	188	223
524	156	188	229
525	158	187	234
526	160	187	239
527	163	186	243
528	166	185	246
529	170	183	248
530	174	182	250
531	178	180	251
532	182	179	251
533	186	177	250
534	189	176	248
535	193	175	246
536	196	174	242
537	199	173	238
538	201	172	233
539	201	172	227
540	201	172	221
541	205	175	220
542	204	175	213
543	202	176	207
544	199	176	201
545	196	177	196
546	192	178	191
547	188	179	188
548	184	180	186
549	180	182	185
550	177	183	185
551	173	184	187
552	170	186	189
553	168	187	193
554	165	188	198
555	163	190	203
556	161	191	210
557	160	191	216
558	159	192	222
559	159	192	228
560	160	192	234
561	161	191	239
562	163	191	243
563	166	189	247
564	169	188	250
565	173	187	252
566	177	185	254
567	181	184	255
568	185	182	255
569	189	181	254
570	193	179	252
571	197	178	250
572	201	177	247
573	203	176	242
574	205	176	238
575	206	175	232
576	206	175	226
577	210	178	225
578	208	179	218
579	206	179	212
580	204	180	206
581	200	180	201
582	196	181	196
583	192	183	193
584	188	184	190
585	184	185	190
586	180	187	190
587	177	188	191
588	174	190	194
589	171	191	198
590	168	192	203
591	166	194	208
592	164	195	214
593	163	195	221
594	162	196	227
595	162	196	233
596	163	196	238
597	164	195	243
598	166	194	247
599	169	193	251
600	172	192	254
601	176	190	255
602	180	189	255
603	184	187	255
604	188	185	255
605	193	184	255
606	197	183	255
607	201	181	254
608	205	180	251
609	208	180	247
610	209	179	242
611	210	179	237
612	211	178	231
613	214	182	229
614	213	182	223
615	211	183	217
616	208	183	211
617	205	184	206
618	201	185	201
619	196	186	197
620	192	188	195
621	188	189	194
622	184	191	195
623	180	192	196
624	177	194	199
625	174	195	202
626	171	196	208
627	169	198	213
628	167	199	219
629	166	199	225
630	165	200	232
631	165	200	237
632	166	200	242
633	167	199	247
634	169	198	251
635	172	197	255
636	175	195	255
637	179	194	255
638	183	192	255
639	187	190	255
640	192	189	255
641	197	187	255
642	201	186	255
643	205	185	255
644	209	184	255
645	212	183	251
646	214	182	246
647	215	182	241
648	215	182	235
649	219	185	234
650	217	186	228
651	215	186	222
652	212	187	216
653	209	188	210
654	205	189	206
655	201	190	202
656	196	191	200
657	192	193	199
658	188	194	199
659	184	196	201
660	180	198	204
661	177	199	207
662	174	200	212
663	172	202	218
664	170	203	224
665	169	203	230
666	168	204	236
667	168	204	241
668	169	203	246
669	170	203	251
670	172	202	255
671	175	201	255
672	178	199	255
673	182	197	255
674	186	195	255
675	190	194	255
676	195	192	255
677	200	190	255
678	205	189	255
679	209	188	255
680	213	187	255
681	216	186	255
682	218	185	250
683	219	185	245
684	219	185	240
685	223	189	238
686	222	189	232
687	219	190	226
688	217	190	221
689	213	191	215
690	209	193	211
691	205	194	207
692	201	195	205
693	196	197	204
694	192	198	204
695	188	200	206
696	184	202	208
697	181	203	212
698	177	205	217
699	175	206	223
700	173	207	228
701	172	207	234
702	171	208	240
703	171	208	245
704	172	207	250
705	173	207	255
706	175	206	255
707	177	204	255
708	181	203	255
709	185	201	255
710	189	199	255
711	194	197	255
712	199	195	255
713	204	194	255
714	209	192	255
715	213	191	255
716	217	190	255
717	220	189	255
718	222	189	254
719	223	189	249
720	223	188	244
721	227	192	242
722	226	193	237
723	224	193	231
724	221	194	225
725	218	195	220
726	214	196	215
727	209	198	212
728	205	199	209
729	200	201	208
730	196	202	209
731	191	204	210
732	187	206	213
733	184	207	217
734	181	209	221
735	178	210	227
736	176	211	233
737	175	212	238
738	174	212	244
739	174	212	249
740	174	211	254
741	176	211	255
742	178	209	255
743	180	208	255
744	184	206	255
745	188	204	255
746	192	203	255
747	197	201	255
748	202	199	255
749	208	197	255
750	213	196	255
751	217	195	255
752	221	193	255
753	224	193	255
754	226	192	255
755	227	192	253
756	227	192	248
