id	r	g	b
0	171	171	172
1	126	98	102
2	125	99	96
3	124	100	89
4	122	100	82
5	119	101	76
6	116	103	70
7	113	104	66
8	110	105	63
9	106	106	62
10	102	107	63
11	99	109	65
12	95	110	69
13	91	111	73
14	88	112	79
15	85	112	86
16	83	113	92
17	81	113	99
18	80	113	105
19	80	113	111
20	81	113	117
21	83	113	122
22	85	112	126
23	89	111	130
24	92	110	134
25	97	109	136
26	101	108	138
27	105	106	139
28	109	105	139
29	113	104	138
30	116	102	136
31	119	101	133
32	122	100	130
33	124	99	125
34	125	99	120
35	126	98	114
36	126	98	108
37	135	107	111
38	134	108	105
39	132	108	98
40	130	109	91
41	128	110	85
42	125	111	80
43	122	113	75
44	118	114	73
45	115	115	72
46	111	116	72
47	107	117	75
48	104	118	78
49	100	119	83
50	97	120	88
51	94	121	95
52	91	122	101
53	90	122	108
54	89	122	114
55	89	122	120
56	90	122	126
57	92	121	131
58	94	121	135
59	98	120	139
60	101	119	143
61	106	118	145
62	110	116	147
63	114	115	148
64	118	114	148
65	122	112	147
66	125	111	145
67	128	110	142
68	131	109	139
69	133	108	134
70	134	107	129
71	135	107	123
72	135	107	117
73	143	115	119
74	142	116	113
75	140	116	106
76	138	117	100
77	136	118	94
78	133	119	88
79	130	121	84
80	126	122	81
81	123	123	80
82	119	124	81
83	115	125	83
84	112	126	87
85	108	127	91
86	105	128	97
87	102	129	103
88	100	130	109
89	98	130	116
90	97	130	122
91	97	130	128
92	98	130	134
93	100	129	139
94	103	129	143
95	106	128	148
96	110	127	151
97	114	126	154
98	118	124	155
99	122	123	156
100	126	122	156
101	130	120	155
102	133	119	153
103	136	118	151
104	139	117	147
105	141	116	142
106	142	115	137
107	143	115	132
108	143	115	126
109	150	123	127
110	149	123	120
111	148	124	114
112	146	124	107
113	143	125	101
114	141	127	96
115	137	128	92
116	134	129	89
117	130	130	88
118	126	132	89
119	123	133	91
120	119	134	94
121	115	135	99
122	112	136	104
123	109	136	110
124	107	137	117
125	106	137	123
126	105	137	130
127	105	137	136
128	106	137	141
129	108	137	146
130	110	136	151
131	113	135	155
132	117	134	159
133	121	133	161
134	125	132	163
135	129	130	164
136	133	129	164
137	137	128	163
138	140	127	161
139	143	125	158
140	146	124	155
141	148	123	150
142	149	123	145
143	150	122	139
144	151	122	133
145	157	129	134
146	156	130	127
147	155	130	121
148	153	131	114
149	150	132	108
150	147	133	103
151	144	135	99
152	141	136	97
153	137	137	96
154	133	138	96
155	129	140	98
156	126	141	102
157	122	142	106
158	119	143	111
159	116	143	117
160	114	144	124
161	112	144	130
162	112	144	137
163	112	144	143
164	113	144	148
165	115	144	154
166	117	143	158
167	120	142	162
168	124	141	166
169	128	140	169
170	132	139	170
171	136	137	171
172	140	136	171
173	144	135	170
174	147	133	168
175	150	132	166
176	153	131	162
177	155	130	157
178	156	130	152
179	157	129	146
180	157	129	140
181	164	136	141
182	163	136	134
183	161	137	127
184	159	138	121
185	157	139	115
186	154	140	110
187	151	141	106
188	147	142	103
189	143	144	102
190	140	145	103
191	136	146	105
192	132	147	108
193	129	148	113
194	125	149	118
195	123	150	124
196	120	150	130
197	119	151	137
198	118	151	143
199	119	151	150
200	120	150	155
201	121	150	160
202	124	149	165
203	127	149	169
204	130	147	173
205	134	146	175
206	138	145	177
207	142	144	178
208	146	142	178
209	150	141	177
210	153	140	175
211	156	139	172
212	159	138	169
213	161	137	164
214	163	136	159
215	164	136	153
216	164	136	147
217	170	142	147
218	169	142	140
219	168	143	134
220	166	144	127
221	163	145	121
222	160	146	116
223	157	147	112
224	153	148	110
225	149	150	109
226	146	151	109
227	142	152	111
228	138	153	115
229	135	154	119
230	131	155	124
231	129	156	130
232	127	156	137
233	125	157	143
234	125	157	150
235	125	157	156
236	126	157	162
237	127	156	167
238	130	155	171
239	133	155	176
240	136	154	179
241	141	152	182
242	144	151	183
243	149	150	184
244	152	148	184
245	156	147	183
246	160	146	181
247	162	145	179
248	165	144	175
249	167	143	170
250	169	142	165
251	170	142	159
252	170	142	153
253	176	148	153
254	175	148	146
255	173	149	140
256	171	150	133
257	169	151	127
258	166	152	122
