id	r	g	b
259	162	153	118
260	159	154	116
261	155	155	115
262	151	157	115
263	148	158	117
264	144	159	121
265	140	160	125
266	137	161	130
267	134	162	136
268	132	162	143
269	131	163	149
270	130	163	156
271	131	163	162
272	132	162	168
273	133	162	173
274	136	161	177
275	139	160	182
276	142	159	185
277	146	158	188
278	150	157	190
279	154	156	190
280	158	154	190
281	162	153	189
282	165	152	188
283	168	151	185
284	171	150	181
285	173	149	176
286	175	148	171
287	176	148	165
288	176	148	159
289	181	153	159
290	180	154	152
291	179	154	145
292	177	155	139
293	174	156	133
294	171	157	128
295	168	158	124
296	164	160	122
297	161	161	121
298	157	162	121
299	153	163	123
300	149	165	126
301	146	166	131
302	143	166	136
303	140	167	142
304	138	168	148
305	136	168	155
306	136	168	161
307	136	168	168
308	137	168	173
309	139	167	179
310	141	167	183
311	144	166	188
312	148	165	191
313	152	164	194
314	156	162	196
315	160	161	196
316	164	160	196
317	167	158	195
318	171	157	193
319	174	156	191
320	177	155	187
321	179	154	182
322	180	154	177
323	181	153	171
324	182	153	165
325	187	159	164
326	186	159	157
327	184	160	151
328	182	160	144
329	180	161	138
330	177	162	133
331	173	164	129
332	170	165	127
333	166	166	126
334	162	168	127
335	158	169	128
336	155	170	132
337	151	171	136
338	148	172	141
339	145	173	147
340	143	173	154
341	142	173	160
342	141	174	167
343	141	173	173
344	142	173	179
345	144	173	184
346	147	172	189
347	150	171	193
348	153	170	197
349	157	169	199
350	161	168	201
351	165	166	202
352	169	165	202
353	173	164	201
354	176	163	199
355	179	161	196
356	182	160	192
357	184	159	188
358	186	159	182
359	187	159	177
360	187	158	170
361	192	164	169
362	191	164	163
363	189	165	156
364	187	165	150
365	185	166	144
366	182	168	139
367	178	169	135
368	175	170	132
369	171	171	131
370	167	173	132
371	163	174	134
372	160	175	137
373	156	176	141
374	153	177	147
375	150	178	153
376	148	178	159
377	147	179	166
378	146	179	172
379	147	179	179
380	148	178	184
381	149	178	189
382	152	177	194
383	155	176	198
384	158	175	202
385	162	174	205
386	166	173	207
387	170	172	207
388	174	170	207
389	178	169	206
390	181	168	204
391	184	167	202
392	187	165	198
393	189	165	193
394	191	164	188
395	192	164	182
396	192	163	176
397	197	169	174
398	196	169	168
399	194	169	161
400	192	170	155
401	190	171	149
402	187	172	144
403	183	174	140
404	180	175	137
405	176	176	136
406	172	178	137
407	168	179	139
408	165	180	142
409	161	181	146
410	158	182	152
411	155	183	158
412	153	183	164
413	152	183	171
414	151	184	177
415	151	183	184
416	152	183	189
417	154	183	195
418	157	182	199
419	160	181	204
420	163	180	207
421	167	179	210
422	171	178	212
423	175	176	213
424	179	175	213
425	183	174	212
426	186	173	210
427	189	171	207
428	192	170	203
429	194	169	198
430	196	169	193
431	197	168	187
432	197	168	181
433	202	173	179
434	201	174	173
435	199	174	166
436	197	175	160
437	195	176	154
438	192	177	149
439	188	178	145
440	184	180	142
441	181	181	141
442	177	182	142
443	173	184	144
444	169	185	147
445	166	186	151
446	163	187	157
447	160	187	163
448	158	188	169
449	156	188	176
450	156	188	182
451	156	188	189
452	157	188	194
453	159	187	200
454	161	187	204
455	164	186	209
456	168	185	212
457	172	184	215
458	176	182	217
459	180	181	218
460	184	180	218
461	187	178	217
462	191	177	215
463	194	176	212
464	197	175	208
465	199	174	203
466	201	174	198
467	201	173	192
468	202	173	186
469	206	178	184
470	205	178	177
471	204	179	171
472	202	180	164
473	199	181	158
474	196	182	153
475	193	183	149
476	189	184	147
477	185	186	146
478	181	187	147
479	177	188	148
480	174	189	152
481	170	190	156
482	167	191	161
483	164	192	167
484	162	192	174
485	161	193	180
486	160	193	187
487	161	193	193
488	162	193	199
489	163	192	204
490	166	191	209
491	169	191	214
492	172	189	217
493	176	188	220
494	180	187	222
495	184	186	223
496	188	184	222
497	192	183	221
498	195	182	220
499	198	181	217
500	201	180	213
501	204	179	208
502	205	178	203
503	206	178	197
504	206	178	191
505	211	182	189
506	210	183	182
507	208	183	175
508	206	184	169
509	204	185	163
510	201	186	158
511	197	187	154
512	194	189	152
513	190	190	151
514	186	191	151
515	182	193	153
516	178	194	156
517	175	195	160
518	171	196	166
519	169	196	172
520	167	197	178
521	165	197	185
522	165	197	192
523	165	197	198
524	166	197	204
525	168	197	209
526	170	196	214
527	173	195	218
528	177	194	222
529	181	193	225
530	185	191	226
531	189	190	227
532	193	189	227
533	196	188	226
534	200	186	224
535	203	185	222
536	206	184	218
537	208	183	213
538	210	183	207
539	211	182	201
540	211	182	195
541	215	187	193
542	214	187	186
543	213	187	180
544	211	188	173
545	208	189	167
546	205	190	162
547	201	192	158
548	198	193	156
549	194	194	155
550	190	196	156
551	186	197	157
552	182	198	161
553	179	199	165
554	176	200	170
555	173	201	176
556	171	201	183
557	170	202	189
558	169	202	196
559	169	202	203
560	170	201	208
561	172	201	214
562	175	200	219
563	178	199	223
564	181	198	227
565	185	197	229
566	189	196	231
567	193	194	232
568	197	193	232
569	201	192	231
570	204	191	229
571	207	189	226
572	210	188	222
573	212	188	217
574	214	187	212
575	215	187	206
576	215	186	200
577	219	191	198
578	218	191	191
579	217	192	184
580	215	192	178
581	212	193	172
582	209	195	167
583	206	196	163
584	202	197	160
585	198	199	159
586	194	200	160
587	190	201	162
588	187	202	165
589	183	203	169
590	180	204	175
591	177	205	181
592	175	205	187
593	174	206	194
594	173	206	200
595	174	206	207
596	175	205	213
597	176	205	218
598	179	204	223
599	182	203	227
600	185	202	231
601	189	201	234
602	193	200	236
603	197	199	236
604	201	197	236
605	205	196	235
606	208	195	233
607	211	194	231
608	214	193	227
609	217	192	222
610	218	191	216
611	219	191	210
612	219	191	204
613	223	195	202
614	223	195	195
615	221	196	188
616	219	197	182
617	216	198	176
618	213	199	171
619	210	200	167
620	206	201	165
621	202	203	164
622	198	204	164
623	194	205	166
624	191	206	169
625	187	207	173
626	184	208	179
627	181	209	185
628	179	210	191
629	178	210	198
630	177	210	205
631	178	210	211
632	179	210	217
633	180	209	222
634	183	208	227
635	186	208	232
636	189	206	235
637	193	205	238
638	197	204	240
639	201	203	241
640	205	201	241
641	209	200	240
642	212	199	238
643	215	198	235
644	218	197	231
645	221	196	226
646	222	195	221
647	223	195	215
648	224	195	208
649	227	199	206
650	227	199	199
651	225	200	192
652	223	200	186
653	220	201	180
654	217	203	175
655	214	204	171
656	210	205	169
657	206	207	168
658	202	208	168
659	198	209	170
660	195	210	173
661	191	211	178
662	188	212	183
663	185	213	189
664	183	214	196
665	182	214	202
666	181	214	209
667	182	214	216
668	183	214	221
669	184	213	227
670	187	212	232
671	190	212	236
672	193	210	240
673	197	209	242
674	201	208	244
675	205	207	245
676	209	205	245
677	213	204	244
678	216	203	242
679	219	202	239
680	222	201	235
681	225	200	230
682	226	199	225
683	227	199	219
684	228	199	212
685	231	203	210
686	230	203	203
687	229	204	196
688	227	204	190
689	224	205	184
690	221	207	179
691	218	208	175
692	214	209	173
693	210	210	172
694	206	212	172
695	202	213	174
696	198	214	177
697	195	215	182
698	192	216	187
699	189	217	193
700	187	217	200
701	186	218	206
702	185	218	213
703	186	218	220
704	187	217	225
705	188	217	231
706	191	216	236
707	194	215	240
708	197	214	244
709	201	213	247
710	205	212	248
711	209	211	249
712	213	209	249
713	217	208	248
714	220	207	246
715	223	206	243
716	226	204	239
717	229	204	234
718	230	203	229
719	231	203	223
720	232	202	217
721	235	206	214
722	234	207	207
723	233	207	200
724	231	208	194
725	228	209	188
726	225	210	183
727	221	212	179
728	218	213	177
729	214	214	176
730	210	216	176
731	206	217	178
732	202	218	181
733	199	219	185
734	195	220	191
735	193	221	197
736	191	221	203
737	189	222	210
738	189	222	217
739	189	222	224
740	190	221	229
741	192	221	235
742	194	220	240
743	197	219	244
744	201	218	248
745	205	217	251
746	209	216	252
747	213	214	253
748	217	213	253
749	221	212	252
750	224	210	250
751	227	209	247
752	230	208	243
753	232	207	238
754	234	207	233
755	235	206	227
756	235	206	221
