id	r	g	b
0	174	165	163
1	175	126	140
2	173	128	132
3	171	130	124
4	169	132	113
5	166	134	102
6	163	137	91
7	160	139	81
8	156	141	74
9	151	143	71
10	146	145	72
11	141	147	77
12	135	149	86
13	129	150	97
14	123	151	108
15	118	152	119
16	112	153	128
17	108	153	136
18	105	154	143
19	104	154	149
20	105	153	155
21	108	153	161
22	113	152	168
23	120	151	175
24	129	149	181
25	138	146	186
26	147	143	190
27	155	139	191
28	161	135	191
29	167	131	189
30	170	128	184
31	173	125	179
32	175	123	172
33	176	123	165
34	176	123	159
35	176	123	152
36	176	124	146
37	179	132	143
38	177	134	136
39	175	136	129
40	173	137	119
41	170	140	109
42	167	142	98
43	164	144	88
44	160	146	81
45	155	148	78
46	151	150	79
47	146	151	84
48	140	153	93
49	135	154	104
50	129	155	114
51	124	156	124
52	119	157	133
53	115	158	140
54	112	158	146
55	111	158	152
56	112	158	159
57	115	157	166
58	120	156	173
59	127	155	180
60	135	154	186
61	144	151	191
62	152	148	195
63	160	145	197
64	166	141	197
65	171	137	194
66	175	134	190
67	178	132	184
68	179	130	177
69	180	129	170
70	181	129	163
71	181	130	156
72	180	131	150
73	183	138	147
74	182	139	140
75	180	141	133
76	177	143	124
77	174	145	115
78	171	147	104
79	168	148	95
80	164	150	88
81	159	152	85
82	155	154	86
83	150	156	91
84	145	157	100
85	140	159	110
86	135	160	120
87	130	161	129
88	125	161	137
89	121	162	143
90	119	162	150
91	118	162	156
92	119	162	163
93	122	162	171
94	127	161	178
95	134	160	185
96	141	158	192
97	149	156	197
98	157	153	201
99	164	150	202
100	170	146	202
101	175	143	200
102	179	140	196
103	182	138	190
104	184	136	183
105	185	135	175
106	186	135	168
107	185	136	160
108	185	137	153
109	188	143	151
110	187	145	144
111	184	146	137
112	182	148	129
113	179	150	120
114	175	151	111
115	172	153	102
116	168	155	95
117	163	157	92
118	159	158	93
119	154	160	98
120	150	161	106
121	145	163	116
122	140	164	125
123	135	165	133
124	131	165	140
125	127	166	147
126	125	166	153
127	125	166	160
128	126	166	168
129	129	166	176
130	134	165	183
131	140	164	191
132	147	162	197
133	155	160	202
134	162	158	206
135	169	155	208
136	175	152	208
137	180	149	205
138	184	146	201
139	187	143	196
140	189	142	189
141	190	141	181
142	191	141	173
143	190	141	165
144	190	142	157
145	194	149	155
146	192	150	148
147	189	151	141
148	187	153	134
149	183	154	126
150	180	156	117
151	176	157	109
152	172	159	102
153	167	161	99
154	163	162	100
155	158	164	105
156	154	165	113
157	149	167	121
158	145	168	130
159	141	169	137
160	137	170	144
161	134	170	150
162	132	170	157
163	131	171	165
164	132	170	173
165	135	170	181
166	140	169	189
167	146	168	196
168	152	167	203
169	159	165	208
170	166	162	212
171	173	160	214
172	179	157	213
173	184	154	211
174	189	151	207
175	192	149	202
176	195	148	195
177	196	147	187
178	196	147	178
179	196	147	170
180	195	148	162
181	199	154	159
182	197	155	152
183	195	156	145
184	192	157	138
185	188	159	131
186	184	160	123
187	180	162	115
188	176	163	109
189	171	165	106
190	167	167	107
191	162	168	112
192	158	170	119
193	154	171	126
194	150	172	134
195	146	173	141
196	142	174	147
197	139	174	154
198	138	175	162
199	137	175	170
200	139	175	178
201	141	174	186
202	146	174	195
203	151	172	202
204	157	171	209
205	164	169	214
206	171	167	217
207	178	164	219
208	184	162	219
209	189	159	217
210	194	157	213
211	198	155	208
212	200	153	201
213	202	152	193
214	202	152	184
215	202	152	175
216	201	153	167
217	205	159	163
218	203	160	156
219	200	161	149
220	197	162	142
221	193	163	135
222	189	165	128
223	185	166	121
224	180	168	116
225	176	169	113
226	171	171	114
227	166	172	118
228	162	174	124
229	158	175	131
230	154	176	138
231	150	177	145
232	147	178	151
233	145	179	158
234	143	179	166
235	143	179	175
236	144	179	183
237	147	179	192
238	151	178	200
239	156	177	208
240	162	175	214
241	169	174	220
242	175	172	223
243	182	169	225
244	189	167	225
245	195	164	223
246	200	162	219
247	204	160	214
248	206	159	207
249	208	158	199
250	208	157	190
251	208	158	181
252	207	158	172
253	211	164	168
254	209	164	160
255	206	165	153
256	203	167	146
257	199	168	140
258	195	169	133
259	190	171	127
260	185	172	122
261	180	174	119
262	175	175	120
263	171	177	123
264	166	178	129
265	162	180	135
266	158	181	142
267	155	182	148
268	152	182	155
269	150	183	163
270	149	183	171
271	149	183	180
272	150	183	189
273	153	183	198
274	156	182	206
275	161	181	214
276	167	180	220
277	173	178	225
278	180	176	229
279	187	174	231
280	193	172	231
