id	r	g	b
281	200	169	230
282	205	167	226
283	210	165	220
284	213	164	213
285	214	163	205
286	215	163	196
287	215	163	187
288	213	163	177
289	218	168	174
290	215	169	165
291	212	170	157
292	209	171	150
293	205	172	144
294	200	174	138
295	195	175	132
296	190	176	127
297	185	178	125
298	179	180	125
299	175	181	129
300	170	183	134
301	166	184	139
302	163	185	145
303	160	186	152
304	157	187	159
305	155	188	167
306	154	188	176
307	154	188	186
308	155	188	195
309	158	188	204
310	161	187	212
311	166	186	220
312	171	185	226
313	177	183	231
314	184	181	235
315	191	179	237
316	199	177	238
317	206	174	236
318	211	172	232
319	216	171	227
320	219	169	220
321	221	168	211
322	222	168	202
323	221	168	193
324	220	168	183
325	225	173	179
326	222	174	170
327	219	175	162
328	215	176	154
329	211	177	148
330	206	178	142
331	201	180	137
332	195	181	133
333	190	183	130
334	184	184	131
335	179	186	133
336	174	187	138
337	170	189	143
338	167	190	149
339	164	191	156
340	162	192	164
341	160	192	172
342	159	193	182
343	159	193	191
344	160	193	201
345	162	193	210
346	166	192	218
347	170	191	226
348	176	190	232
349	182	188	237
350	189	186	241
351	196	184	244
352	204	182	244
353	211	180	242
354	218	178	239
355	223	176	233
356	226	174	226
357	228	173	218
358	228	173	209
359	228	172	199
360	227	173	189
361	231	178	185
362	228	178	175
363	225	179	166
364	221	180	159
365	217	181	152
366	212	183	146
367	207	184	141
368	201	186	137
369	195	187	135
370	189	189	136
371	184	191	138
372	179	192	142
373	175	194	147
374	171	195	153
375	168	196	160
376	166	197	169
377	165	197	178
378	164	198	188
379	164	198	197
380	165	198	207
381	167	198	216
382	170	197	224
383	175	196	232
384	180	195	238
385	186	193	244
386	193	192	248
387	202	190	250
388	210	187	251
389	218	185	249
390	224	183	245
391	229	181	240
392	233	180	233
393	234	179	225
394	235	178	215
395	235	177	206
396	233	177	195
